slice_file_name,fsID,start,end,salience,fold,classID,class
127873-0-0-0.wav,127873,0,2.04075,1,1,0,air_conditioner
177621-0-0-0.wav,177621,0,4,2,1,0,air_conditioner
145577-1-0-0.wav,145577,0,1.105569,1,2,1,car_horn
132073-1-0-0.wav,132073,0.940782,2.404221,2,2,1,car_horn
105415-2-0-1.wav,105415,0.5,4.5,1,1,2,children_playing
135776-2-0-32.wav,135776,16,20,2,1,2,children_playing
101415-3-0-2.wav,101415,1,5,1,1,3,dog_bark
102106-3-0-0.wav,102106,2.243852,3.884477,2,1,3,dog_bark
103199-4-0-0.wav,103199,0,4,1,3,4,drilling
17913-4-1-0.wav,17913,8.462876,9.512387,2,1,4,drilling
103258-5-0-0.wav,103258,0,4,1,1,5,engine_idling
46918-5-0-0.wav,46918,6.000195,10.000195,2,1,5,engine_idling
102305-6-0-0.wav,102305,0,2.61161,1,1,6,gun_shot
135527-6-0-0.wav,135527,0,1.280285,2,7,6,gun_shot
103074-7-0-0.wav,103074,3.341279,7.341279,1,1,7,jackhammer
180937-7-3-0.wav,180937,304.584561,308.584561,2,1,7,jackhammer
157867-8-0-0.wav,157867,0,4,1,1,8,siren
106905-8-0-0.wav,106905,43.636489,47.636489,2,1,8,siren
108041-9-0-11.wav,108041,5.5,9.5,1,1,9,street_music
132016-9-0-0.wav,132016,46.661108,50.661108,2,1,9,street_music
108041-9-0-2.wav,108041,1,5,1,1,9,street_music
177621-0-0-100.wav,177621,50,54,2,1,0,air_conditioner
132073-1-1-0.wav,132073,2.979144,4.128989,2,2,1,car_horn
135776-2-0-37.wav,135776,18.5,22.5,2,1,2,children_playing
102105-3-0-0.wav,102105,2.041889,6.041889,2,3,3,dog_bark
118278-4-0-1.wav,118278,0.5,4.5,2,10,4,drilling
46918-5-0-2.wav,46918,7.000195,11.000195,2,1,5,engine_idling
135527-6-1-0.wav,135527,1.280285,4.511481,2,7,6,gun_shot
180937-7-3-1.wav,180937,305.084561,309.084561,2,1,7,jackhammer
106905-8-0-1.wav,106905,44.136489,48.136489,2,1,8,siren
132016-9-0-11.wav,132016,52.161108,56.161108,2,1,9,street_music
13230-0-0-1.wav,13230,0.5,4.5,1,3,0,air_conditioner
153057-1-0-0.wav,153057,0.284091,1.383136,1,7,1,car_horn
105415-2-0-15.wav,105415,7.5,11.5,1,1,2,children_playing
101415-3-0-3.wav,101415,1.5,5.5,1,1,3,dog_bark
103199-4-0-3.wav,103199,1.5,5.5,1,3,4,drilling
103258-5-0-10.wav,103258,5,9,1,1,5,engine_idling
106955-6-0-0.wav,106955,0.495575,1.649031,1,9,6,gun_shot
103074-7-1-0.wav,103074,22.517317,26.517317,1,1,7,jackhammer
157867-8-0-10.wav,157867,5,9,1,1,8,siren
108041-9-0-2.wav,108041,1,5,1,1,9,street_music
